station,glatos_array,station_no,consecutive_deploy_no,intend_lat,intend_long,deploy_lat,deploy_long,recover_lat,recover_long,deploy_date_time,recover_date_time,bottom_depth,riser_length,instrument_depth,ins_model_no,glatos_ins_frequency,ins_serial_no,code_map,code_map_comment,deployed_by,comments,glatos_seasonal,glatos_project,glatos_vps
HAM-076,HAM,76,4,NA,NA,43.28368,-79.87139,NA,NA,2025-07-10T14:49:00Z,2025-10-21T13:46:00Z,12.7,1.5,NA,VR2AR,69,548706,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-023,HAM,23,14,NA,NA,43.28569,-79.86764,NA,NA,2025-07-10T14:56:00Z,2025-10-21T13:35:00Z,5.4,1.5,NA,VR2AR,69,548282,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-075,HAM,75,4,NA,NA,43.28577,-79.8707,NA,NA,2025-07-10T15:08:00Z,2025-10-21T13:42:00Z,4.3,1.5,NA,VR2AR,69,552977,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-074,HAM,74,4,NA,NA,43.28268,-79.87783,NA,NA,2025-07-10T15:20:00Z,2025-10-21T14:28:00Z,9.4,1.5,NA,VR2AR,69,549107,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-073,HAM,73,4,NA,NA,43.280029999999996,-79.88284,NA,NA,2025-07-10T15:35:00Z,2025-10-21T14:35:00Z,5.4,1.5,NA,VR2AR,69,548265,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-079,HAM,79,4,NA,NA,43.27447,-79.88546,NA,NA,2025-07-10T15:46:00Z,2025-10-21T14:50:00Z,4.5,1.5,NA,VR2AR,69,548243,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-085,HAM,85,3,NA,NA,43.27843,-79.8619,NA,NA,2025-07-10T16:08:00Z,2025-10-21T13:15:00Z,10.4,1.5,NA,VR2AR,69,548262,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-081,HAM,81,3,NA,NA,43.2712,-79.87804,NA,NA,2025-07-23T14:12:00Z,2025-10-21T14:11:00Z,3,1.5,NA,VR2AR,69,548241,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-083,HAM,83,3,NA,NA,43.27432,-79.87759,NA,NA,2025-07-23T14:24:00Z,2025-10-21T14:17:00Z,8.2,1.5,NA,VR2AR,69,552976,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-084,HAM,84,3,NA,NA,43.27551,-79.87173,NA,NA,2025-07-23T14:35:00Z,2025-10-21T14:02:00Z,9.4,1.5,NA,VR2AR,69,549114,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-078,HAM,78,4,NA,NA,43.27774,-79.87807,NA,NA,2025-07-23T19:11:00Z,2025-10-21T14:22:00Z,9.9,1.5,NA,VR2AR,69,552890,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-080,HAM,80,2,NA,NA,43.27191,-79.88202,NA,NA,2025-07-23T19:49:00Z,2025-10-21T14:55:00Z,4.5,1.5,NA,VR2AR,69,552971,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-011,HAM,11,11,NA,NA,43.2773,-79.8669,NA,NA,2025-08-01T13:14:00Z,2025-11-19T17:18:00Z,12,3.2,NA,VR2W,69,119711,Generation-2,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-053,HAM,53,11,NA,NA,43.2759,-79.86333,NA,NA,2025-08-01T14:25:00Z,2025-11-19T17:35:00Z,7.2,NA,5.7,VR2W,69,133111,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-036,HAM,36,14,NA,NA,43.27139,-79.8695,NA,NA,2025-08-01T15:30:00Z,2025-11-19T18:30:00Z,2.7,0.5,NA,VR2W,69,131493,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-043,HAM,43,10,NA,NA,43.27957,-79.8915,NA,NA,2025-08-01T16:00:00Z,NA,1,NA,0.3,VR2W,69,121999,NA,code map not available (receiver currently deployed),NA,NA,No,HAMLO,No
HAM-063,HAM,63,8,NA,NA,43.2822,-79.88451,NA,NA,2025-08-01T16:00:00Z,2025-11-19T17:05:00Z,1.5,NA,NA,VR2W,69,127827,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-058,HAM,58,9,NA,NA,43.31292,-79.8061,NA,NA,2025-08-01T16:30:00Z,NA,1.2,NA,0.3,VR2W,69,124717,NA,code map not available (receiver currently deployed),NA,NA,No,HAMLO,No
HAM-034,HAM,34,14,NA,NA,43.27142,-79.80812,NA,NA,2025-08-06T15:50:00Z,NA,1.2,0.3,NA,VR2W,69,121993,NA,code map not available (receiver currently deployed),NA,NA,No,HAMLO,No
HAM-041,HAM,41,12,NA,NA,43.2767,-79.83893,NA,NA,2025-08-06T17:05:00Z,2025-11-19T17:55:00Z,NA,NA,NA,VR2W,69,133001,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-046,HAM,46,11,NA,NA,43.30771,-79.82588,NA,NA,2025-08-07T14:20:00Z,2025-11-25T16:15:00Z,1.9,0.9,1,VR2W,69,121988,Generation-2,NA,NA,NA,No,HAMLO,No
HAM-035,HAM,35,10,NA,NA,43.26228,-79.77238,NA,NA,2025-08-28T14:10:00Z,NA,2,NA,NA,VR2W,69,137956,NA,code map not available (receiver currently deployed),NA,NA,No,HAMLO,No
HAM-033,HAM,33,12,NA,NA,43.29215,-79.88395,NA,NA,2025-08-28T15:25:00Z,NA,0.7,NA,NA,VR2W-Tx,69,487630,NA,code map not available (receiver currently deployed),NA,NA,No,HAMLO,No
HAM-032,HAM,32,13,NA,NA,43.27973,-79.89346,NA,NA,2025-10-02T17:05:00Z,NA,1.85,NA,NA,VR2W,69,131523,NA,code map not available (receiver currently deployed),NA,NA,No,HAMLO,No
